-8, -14, 1026
-10, -14, 1026
-13, -14, 1026
-26, -9, 1025
-5, -15, 1026
-6, -16, 1025
-,-,-
-12, -10, 1025
-7, -12, 1021
-7, -12, 1021
-9, -13, 1024
-10, -12, 1024
-9, -13, 1023
-8, -13, 1022
-7, -13, 1023
-7, -13, 1023
-8, -11, 1022
-9, -12, 1023
-9, -12, 1023
-8, -13, 1022
-7, -12, 1021
-7, -12, 1021
-4, -12, 1023
-13, -13, 1022
-10, -12, 1023
-8, -12, 1023
-7, -13, 1022
-7, -13, 1022
-10, -13, 1023
-8, -13, 1023
-8, -12, 1023
-6, -15, 1023
-6, -15, 1023
-8, -23, 1022
-18, -83, 1024
-13, -173, 1021
0, -147, 1020
30, -139, 1018
2, -51, 1028
2, -51, 1028
37, -43, 1015
-34, -117, 1021
-24, -81, 1017
-55, -18, 1029
8, 54, 1018
8, 54, 1018
-3, 42, 1044
4, -16, 1004
-33, -28, 1032
-33, -28, 1032
-6, -59, 1011
-26, -18, 1029
17, 18, 1025
-21, -17, 1021
10, 21, 1027
10, 21, 1027
-21, 1, 1037
-32, 43, 1022
-12, 5, 1005
-12, 5, 1005
-10, 22, 1024
2, 24, 1024
2, 2, 1050
2, 2, 1050
6, 8, 996
-11, 25, 1038
-11, 25, 1038
0, 15, 1015
-43, 119, 1033
3, 43, 1023
-20, 85, 1025
-20, 85, 1025
-1, 41, 1023
-8, -8, 1024
-8, -13, 1023
-7, -15, 1023
-7, -15, 1023
38, -27, 1025
51, -23, 1028
57, -32, 1026
88, -28, 1017
88, -28, 1017
75, -36, 1023
58, -13, 1019
58, -25, 1034
74, -23, 1004
74, -23, 1004
12, -8, 1047
23, 0, 1013
25, 11, 1034
-25, -5, 1005
-25, -5, 1005
-31, -17, 1022
-35, -13, 1034
-33, -10, 1042
-61, -13, 1031
-24, -10, 982
-24, -10, 982
0, -23, 1037
-55, 4, 1045
-15, 18, 1016
-62, 0, 1032
-62, 0, 1032
-72, -14, 1012
-54, -22, 1022
-74, -19, 1032
-95, -27, 1023
-98, -15, 1025
-63, -15, 1024
